"filename", "language", "C++", "CMake", "YAML", "JSON", "Markdown", "Swift", "Dart", "HTML", "XML", "Properties", "Python", "pip requirements", "comment", "blank", "total"
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\analysis_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 11, 1, 46
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\backend\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\backend\app\db\database.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\backend\app\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 9, 29
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\backend\app\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\backend\app\routes\authentication.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 8, 54
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\backend\app\routes\bookmark.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 8, 39
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\backend\app\routes\db_routes.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\backend\app\routes\posts.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 37, 8, 157
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\backend\app\routes\purches.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 6, 51
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\backend\app\routes\search.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 107, 4, 149
