"filename", "language", "C++", "CMake", "XML", "YAML", "Dart", "Markdown", "JSON", "Swift", "HTML", "pip requirements", "Python", "Properties", "comment", "blank", "total"
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\backend\get_post.dart", "Dart", 0, 0, 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 3, 15, 210
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\backend\get_user.dart", "Dart", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 1, 9, 66
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\backend\login.dart", "Dart", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 1, 8, 58
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\backend\picRequest.dart", "Dart", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 4, 20
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\backend\postadd.dart", "Dart", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 8, 8, 67
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\backend\purches.dart", "Dart", 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 8, 83
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\backend\register.dart", "Dart", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 7, 57
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\backend\search.dart", "Dart", 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 6, 33, 188
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\backend\userinfo.dart", "Dart", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 4, 9, 54
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\generated\intl\messages_all.dart", "Dart", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 10, 10, 81
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\generated\intl\messages_ar.dart", "Dart", 0, 0, 0, 0, 364, 0, 0, 0, 0, 0, 0, 0, 10, 7, 381
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\generated\intl\messages_en.dart", "Dart", 0, 0, 0, 0, 391, 0, 0, 0, 0, 0, 0, 0, 10, 7, 408
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\generated\intl\messages_ps.dart", "Dart", 0, 0, 0, 0, 404, 0, 0, 0, 0, 0, 0, 0, 10, 7, 421
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\generated\intl\messages_ur.dart", "Dart", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 10, 7, 103
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\generated\l10n.dart", "Dart", 0, 0, 0, 0, 1328, 0, 0, 0, 0, 0, 0, 0, 218, 225, 1771
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\global.dart", "Dart", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 9, 50
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\ifAqarOffice.dart", "Dart", 0, 0, 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 10, 6, 200
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\l10n\intl_ar.arb", "JSON", 0, 0, 0, 0, 0, 0, 206, 0, 0, 0, 0, 0, 0, 27, 233
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\l10n\intl_en.arb", "JSON", 0, 0, 0, 0, 0, 0, 212, 0, 0, 0, 0, 0, 0, 34, 246
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\l10n\intl_ps.arb", "JSON", 0, 0, 0, 0, 0, 0, 214, 0, 0, 0, 0, 0, 0, 20, 234
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\l10n\intl_ur.arb", "JSON", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 13, 70
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\login.dart", "Dart", 0, 0, 0, 0, 411, 0, 0, 0, 0, 0, 0, 0, 3, 16, 430
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\main.dart", "Dart", 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 10, 150
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\map.dart", "Dart", 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 11, 137
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\officeAccountInfo.dart", "Dart", 0, 0, 0, 0, 312, 0, 0, 0, 0, 0, 0, 0, 0, 10, 322
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\officeHomePage.dart", "Dart", 0, 0, 0, 0, 3153, 0, 0, 0, 0, 0, 0, 0, 104, 96, 3353
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\officeLogin.dart", "Dart", 0, 0, 0, 0, 299, 0, 0, 0, 0, 0, 0, 0, 0, 8, 307
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\postsDetail.dart", "Dart", 0, 0, 0, 0, 698, 0, 0, 0, 0, 0, 0, 0, 0, 14, 712
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\requestPicture.dart", "Dart", 0, 0, 0, 0, 364, 0, 0, 0, 0, 0, 0, 0, 1, 19, 384
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\search_page.dart", "Dart", 0, 0, 0, 0, 953, 0, 0, 0, 0, 0, 0, 0, 83, 65, 1101
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\subscription_pageOne.dart", "Dart", 0, 0, 0, 0, 453, 0, 0, 0, 0, 0, 0, 0, 2, 41, 496
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\warningLogOutPage.dart", "Dart", 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 3, 171
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\linux\CMakeLists.txt", "CMake", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\linux\flutter\CMakeLists.txt", "CMake", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\linux\flutter\generated_plugin_registrant.cc", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\linux\flutter\generated_plugins.cmake", "CMake", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\linux\runner\CMakeLists.txt", "CMake", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\linux\runner\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\linux\runner\my_application.cc", "C++", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\linux\runner\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 4, 19
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 344
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\pubspec.yaml", "YAML", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16, 65
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\test\widget_test.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 15, 5, 39
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\website\Bod-logo(512x512)-White.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\website\Bod-logo(512x512).svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\website\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 28, 211
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\website\registerPage.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 390, 0, 0, 0, 0, 66, 456
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\CMakeLists.txt", "CMake", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\flutter\CMakeLists.txt", "CMake", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\flutter\generated_plugin_registrant.cc", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\flutter\generated_plugins.cmake", "CMake", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\runner\CMakeLists.txt", "CMake", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\ZETTA\Desktop\aqarat_flutter_project4\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 554, 465, 616, 47, 18588, 13, 958, 61, 592, 405, 796, 8, 1525, 1715, 26343
